Type,OdName,AreaName,RegName,DevName,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Emigrants,Afghanistan,Asia,Southern Asia,Developing regions,1,0,1,0,0,0,0,1,1,1,1,0,0,5,0,4,1,1,0,3,0,3,6,11,15,23,22,19,16,23,28,15,10,4
Emigrants,Albania,Europe,Southern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,11,2,4,1,0,3,0,4,1,1,0,5,0,0,1,5,2,0
Emigrants,Algeria,Africa,Northern Africa,Developing regions,5,1,1,1,0,1,0,0,2,1,1,0,0,1,0,1,0,0,0,0,0,2,2,1,0,1,0,0,0,3,2,0,8,0
Emigrants,American Samoa,Oceania,Polynesia,Developing regions,64,37,17,9,33,16,37,35,68,53,43,37,41,34,44,25,20,33,48,45,29,65,33,51,35,38,20,17,26,21,16,12,29,13
Emigrants,Andorra,Europe,Southern Europe,Developed regions,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,2,4,2,0,0,1,1,0,2,0,0,0,0,0
Emigrants,Angola,Africa,Middle Africa,Developing regions,0,0,0,0,0,0,0,0,0,0,0,2,5,1,1,1,4,3,1,0,1,7,2,0,5,3,0,0,6,1,2,0,1,0
Emigrants,Anguilla,Latin America and the Caribbean,Caribbean,Developing regions,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Emigrants,Antigua and Barbuda,Latin America and the Caribbean,Caribbean,Developing regions,0,0,1,0,0,0,0,0,0,0,1,0,1,1,6,1,2,1,0,1,0,1,2,3,0,0,0,2,1,1,0,1,0,0
Emigrants,Argentina,Latin America and the Caribbean,South America,Developing regions,13,13,13,1,1,15,4,17,22,19,17,20,31,33,60,47,38,74,49,46,52,35,29,48,72,92,98,107,118,150,186,162,180,181
Emigrants,Armenia,Asia,Western Asia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,2,3,0,0,0,0,3,2,0,0,1,1,0
Emigrants,Aruba,Latin America and the Caribbean,Caribbean,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0
Emigrants,Australia,Oceania,Australia and New Zealand,Developed regions,40250,39097,27200,14485,18517,30722,35708,34921,45088,33929,19608,15359,16036,15535,18828,21512,23601,26030,28469,33875,38248,36033,25070,24569,28938,34766,34015,41634,48452,32755,36830,51054,53676,39154
Emigrants,Austria,Europe,Western Europe,Developed regions,37,31,28,32,20,28,31,29,31,45,43,74,47,49,32,46,51,30,34,37,56,48,39,55,73,72,76,91,67,72,98,97,98,104
Emigrants,Azerbaijan,Asia,Western Asia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,1,3,6,0,3,2,0,6,0,2,1,0,3,0,2,2
Emigrants,Bahamas,Latin America and the Caribbean,Caribbean,Developing regions,6,2,3,7,1,4,9,1,7,15,1,1,3,3,12,11,5,9,2,2,3,4,6,0,7,3,2,7,1,7,0,1,7,1
Emigrants,Bahrain,Asia,Western Asia,Developing regions,17,17,47,74,36,11,22,18,21,24,26,62,66,37,40,25,14,11,27,17,17,18,8,12,37,22,29,59,78,66,39,22,15,23
Emigrants,Bangladesh,Asia,Southern Asia,Developing regions,10,14,5,8,6,29,26,11,5,29,23,13,10,19,21,36,25,26,23,16,28,29,25,33,38,36,24,26,25,18,24,38,31,14
Emigrants,Barbados,Latin America and the Caribbean,Caribbean,Developing regions,7,16,13,22,6,2,0,0,2,2,2,5,1,11,5,4,3,7,9,3,4,2,2,1,0,1,5,3,5,2,2,3,1,1
Emigrants,Belarus,Europe,Eastern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,3,3,5,0,1,3,0,0,2,0,1
Emigrants,Belgium,Europe,Western Europe,Developed regions,29,35,13,16,27,13,22,17,44,11,60,31,48,35,40,38,52,63,76,56,76,52,61,49,55,54,70,58,76,91,91,82,79,78
Emigrants,Belize,Latin America and the Caribbean,Central America,Developing regions,3,2,5,5,0,0,0,0,2,4,0,1,6,1,1,3,2,0,4,6,6,0,0,2,1,1,2,2,4,6,4,0,2,1
Emigrants,Benin,Africa,Western Africa,Developing regions,0,0,3,4,0,0,0,0,0,0,5,0,1,0,1,3,3,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0
Emigrants,Bermuda,Northern America,Northern America,Developed regions,13,15,3,2,12,10,2,9,2,10,4,11,9,12,11,16,7,12,7,18,12,13,9,13,18,8,17,17,7,5,11,11,0,3
Emigrants,Bhutan,Asia,Southern Asia,Developing regions,1,6,1,0,1,3,4,6,13,5,15,8,5,0,9,4,5,1,1,5,4,1,4,5,8,12,10,11,4,2,0,0,1,3
Emigrants,Bolivia (Plurinational State of),Latin America and the Caribbean,South America,Developing regions,2,13,3,1,10,5,0,10,2,0,3,11,4,9,17,8,15,18,11,15,33,12,5,7,8,12,7,5,9,11,18,8,11,29
Emigrants,Bosnia and Herzegovina,Europe,Southern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,5,6,6,10,7,6,8,7,2,5,5,6,3,5,4,0,0,0,4
Emigrants,Botswana,Africa,Southern Africa,Developing regions,10,2,4,6,0,0,4,9,3,7,13,6,8,3,6,7,5,7,6,14,9,12,4,14,11,8,8,5,10,2,9,3,7,8
Emigrants,Brazil,Latin America and the Caribbean,South America,Developing regions,30,26,20,15,11,14,27,48,37,39,43,64,58,58,75,51,84,67,97,79,62,96,88,131,156,213,261,257,413,453,488,340,306,245
Emigrants,British Virgin Islands,Latin America and the Caribbean,Caribbean,Developing regions,0,0,0,0,0,0,0,0,2,0,6,0,0,0,5,1,1,2,2,0,5,7,4,2,5,2,2,4,3,1,3,1,1,3
Emigrants,Brunei Darussalam,Asia,South-Eastern Asia,Developing regions,35,27,42,18,25,25,26,57,41,52,24,35,54,107,191,62,200,123,52,55,34,37,51,30,45,37,45,56,16,68,81,62,57,79
Emigrants,Bulgaria,Europe,Eastern Europe,Developed regions,3,1,0,3,0,0,0,0,0,0,0,3,4,5,3,0,3,1,2,8,3,11,4,5,12,8,6,13,15,17,11,8,9,6
Emigrants,Burkina Faso,Africa,Western Africa,Developing regions,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,6,0,1,4,6,0,0,0,1,0,2,1,0,0,0,0,0
Emigrants,Burundi,Africa,Eastern Africa,Developing regions,0,0,0,0,0,0,0,0,5,0,1,0,0,2,0,1,0,0,2,0,0,0,0,0,1,1,5,3,7,2,8,2,0,0
Emigrants,Cabo Verde,Africa,Western Africa,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Emigrants,Cambodia,Asia,South-Eastern Asia,Developing regions,0,1,0,0,0,0,0,0,0,0,2,3,34,24,25,8,16,32,25,47,27,24,42,36,60,50,35,66,56,61,73,96,69,91
Emigrants,Cameroon,Africa,Middle Africa,Developing regions,0,2,4,0,0,3,1,0,3,0,0,0,0,0,0,4,0,0,1,0,0,6,4,1,0,2,0,1,1,2,2,4,2,4
Emigrants,Canada,Northern America,Northern America,Developed regions,1340,1161,734,566,570,697,747,840,1105,1002,973,971,856,760,673,803,761,880,1020,1006,1077,1194,1113,1222,1247,1485,1440,1542,1742,1660,1546,1521,1580,1691
Emigrants,Cayman Islands,Latin America and the Caribbean,Caribbean,Developing regions,3,0,0,0,1,0,1,3,4,7,2,2,3,0,4,1,8,5,6,5,11,15,4,4,7,11,25,20,22,8,9,14,16,7
Emigrants,Central African Republic,Africa,Middle Africa,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emigrants,Chad,Africa,Middle Africa,Developing regions,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0
Emigrants,Chile,Latin America and the Caribbean,South America,Developing regions,15,32,32,29,23,21,12,40,38,43,45,39,69,46,72,51,88,54,38,42,52,54,48,83,104,118,132,156,229,305,299,254,273,231
Emigrants,China,Asia,Eastern Asia,Developing regions,40,66,84,91,65,91,98,87,152,92,82,196,254,200,221,283,292,362,410,451,692,862,1186,1988,3319,2986,2443,2391,2352,2175,2609,2713,2475,2464
Emigrants,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Developing regions,283,300,240,184,147,182,147,199,260,277,351,420,503,490,516,508,552,622,517,539,674,557,522,398,480,482,446,479,444,339,394,430,415,357
Emigrants,"China, Macao Special Administrative Region",Asia,Eastern Asia,Developing regions,22,6,1,0,1,0,0,0,1,9,2,3,14,15,8,18,14,10,22,8,11,16,13,7,7,8,27,17,15,10,14,10,12,16
Emigrants,Colombia,Latin America and the Caribbean,South America,Developing regions,4,20,2,2,3,10,11,2,3,3,5,6,2,6,5,11,7,16,13,8,13,5,18,13,12,17,18,13,19,25,26,19,28,29
Emigrants,Comoros,Africa,Eastern Africa,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Emigrants,Congo,Africa,Middle Africa,Developing regions,0,0,4,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,3,1,1,0,3
Emigrants,Cook Islands,Oceania,Polynesia,Developing regions,634,480,436,413,427,368,486,476,506,473,460,488,603,394,426,305,225,177,291,276,320,450,322,400,379,397,339,392,316,250,303,301,261,284
Emigrants,Costa Rica,Latin America and the Caribbean,Central America,Developing regions,7,0,1,0,0,2,0,3,10,10,16,5,19,5,20,22,18,18,11,25,16,10,10,11,6,9,3,9,8,9,12,17,13,11
Emigrants,Côte d'Ivoire,Africa,Western Africa,Developing regions,0,0,3,4,0,0,0,0,1,0,1,6,0,5,2,3,1,2,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0
Emigrants,Croatia,Europe,Southern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,20,41,45,30,24,27,45,16,22,28,30,22,40,21,10,21,9,12,16
Emigrants,Cuba,Latin America and the Caribbean,Caribbean,Developing regions,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,2,0,0,1,0,0,0,1,2,1
Emigrants,Cyprus,Asia,Western Asia,Developing regions,16,13,2,1,12,9,7,6,12,14,7,18,12,6,12,9,14,6,3,1,7,5,9,12,17,7,6,5,9,8,8,11,3,4
Emigrants,Czech Republic,Europe,Eastern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,13,9,17,8,7,27,35,60,58,70,116,77,135,157,138,138,147,195,253
Emigrants,Democratic People's Republic of Korea,Asia,Eastern Asia,Developing regions,4,0,0,0,4,5,3,0,0,0,0,0,0,1,0,0,1,2,12,13,0,1,0,0,0,0,0,0,0,2,0,0,0,0
Emigrants,Democratic Republic of the Congo,Africa,Middle Africa,Developing regions,8,1,12,15,8,2,2,10,3,0,3,0,0,0,1,5,2,5,1,0,0,0,0,1,0,1,0,1,2,0,1,0,0,1
Emigrants,Denmark,Europe,Northern Europe,Developed regions,59,43,34,38,48,46,58,51,59,53,75,105,126,118,68,87,93,101,120,95,120,91,74,88,106,116,93,101,69,92,86,110,103,91
Emigrants,Djibouti,Africa,Eastern Africa,Developing regions,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Emigrants,Dominica,Latin America and the Caribbean,Caribbean,Developing regions,0,0,0,0,2,1,2,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0
Emigrants,Dominican Republic,Latin America and the Caribbean,Caribbean,Developing regions,3,1,0,0,0,0,0,0,0,0,2,2,1,0,0,1,0,0,2,4,0,0,0,0,1,0,1,0,0,1,1,6,0,0
Emigrants,Ecuador,Latin America and the Caribbean,South America,Developing regions,5,7,6,7,6,1,4,4,7,8,6,2,0,2,4,2,1,13,20,5,7,14,3,11,14,6,10,9,9,14,6,7,10,7
Emigrants,Egypt,Africa,Northern Africa,Developing regions,15,3,16,11,30,16,12,24,6,10,13,12,25,25,10,6,16,20,30,25,24,24,17,20,18,21,40,31,37,32,36,45,46,34
Emigrants,El Salvador,Latin America and the Caribbean,Central America,Developing regions,2,4,0,0,0,1,3,1,0,4,1,3,5,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,5,0,4,0,2,1
Emigrants,Equatorial Guinea,Africa,Middle Africa,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
Emigrants,Eritrea,Africa,Eastern Africa,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,1,8,5,0,1,3,0,2,4,0,1,0,0,0
Emigrants,Estonia,Europe,Northern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,2,1,2,7,1,2,0,1,1,4,1,6,8,7,17,19
Emigrants,Ethiopia,Africa,Eastern Africa,Developing regions,0,25,9,7,0,1,5,2,2,6,3,2,14,5,7,9,2,8,7,5,8,1,3,12,21,6,13,4,0,12,7,13,2,10
Emigrants,Faeroe Islands,Europe,Northern Europe,Developed regions,0,0,0,0,0,0,0,0,4,0,0,2,1,2,1,1,2,0,0,0,1,1,0,0,2,3,0,2,5,0,0,2,1,0
Emigrants,Falkland Islands (Malvinas),Latin America and the Caribbean,South America,Developing regions,0,20,0,6,19,0,0,2,3,6,11,14,11,2,1,7,8,6,5,0,4,11,8,7,0,9,2,3,6,3,7,1,1,1
Emigrants,Fiji,Oceania,Melanesia,Developing regions,698,496,453,356,321,364,387,330,329,377,511,597,572,489,392,314,347,356,394,479,233,283,237,361,398,409,333,276,331,594,700,610,474,451
Emigrants,Finland,Europe,Northern Europe,Developed regions,4,4,20,7,13,16,14,8,19,8,23,37,32,40,34,30,32,31,32,40,30,26,34,36,33,39,31,28,43,31,37,55,43,29
Emigrants,France,Europe,Western Europe,Developed regions,112,113,114,135,98,130,114,130,123,156,170,216,250,203,190,171,156,216,248,292,352,320,308,383,456,508,448,538,523,576,698,740,728,731
Emigrants,French Guiana,Latin America and the Caribbean,South America,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emigrants,French Polynesia,Oceania,Polynesia,Developing regions,14,13,24,11,21,29,31,16,29,20,27,14,15,16,14,14,21,32,14,22,25,17,15,15,25,14,21,13,22,21,31,17,15,18
Emigrants,Gabon,Africa,Middle Africa,Developing regions,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,4,0,4,2,0,1
Emigrants,Gambia,Africa,Western Africa,Developing regions,0,3,8,0,1,12,1,0,0,2,0,0,0,0,1,0,1,0,0,0,4,3,0,3,1,3,0,0,0,0,3,1,0,0
Emigrants,Georgia,Asia,Western Asia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,7,1,1,0,0,1,2,0,0,1,0,2,0,3,5,3
Emigrants,Germany,Europe,Western Europe,Developed regions,191,160,140,161,126,177,191,201,262,296,280,330,419,295,323,357,347,354,391,370,427,470,470,531,584,653,773,797,908,979,1133,1074,950,1022
Emigrants,Ghana,Africa,Western Africa,Developing regions,10,0,4,2,1,7,2,3,7,9,4,4,9,6,10,3,6,18,15,3,10,14,10,4,4,8,11,12,2,6,7,9,17,9
Emigrants,Gibraltar,Europe,Southern Europe,Developed regions,0,0,0,1,0,0,3,0,1,1,1,2,4,0,0,0,0,4,1,0,1,0,0,0,0,2,0,2,1,0,0,1,1,0
Emigrants,Greece,Europe,Southern Europe,Developed regions,97,61,54,93,77,88,71,58,71,57,46,72,70,44,67,48,52,38,39,47,39,33,13,32,24,35,17,31,22,26,14,24,7,13
Emigrants,Greenland,Northern America,Northern America,Developed regions,2,0,0,0,0,0,0,2,1,0,0,0,2,0,0,2,0,0,0,0,4,2,0,0,0,2,0,0,1,0,0,3,0,0
Emigrants,Grenada,Latin America and the Caribbean,Caribbean,Developing regions,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3,0,0,0,2,0,0,1,1,0,1,0,0,5,0,0
Emigrants,Guadeloupe,Latin America and the Caribbean,Caribbean,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
Emigrants,Guam,Oceania,Micronesia,Developing regions,6,7,2,4,2,1,6,5,2,12,22,47,27,19,3,2,13,3,15,8,2,12,3,15,3,1,7,2,4,9,4,4,8,7
Emigrants,Guatemala,Latin America and the Caribbean,Central America,Developing regions,15,0,1,2,4,5,0,2,0,0,0,0,4,0,10,0,4,6,5,2,6,3,5,7,4,14,5,2,1,0,3,3,2,10
Emigrants,Guinea,Africa,Western Africa,Developing regions,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Emigrants,Guinea-Bissau,Africa,Western Africa,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Emigrants,Guyana,Latin America and the Caribbean,South America,Developing regions,1,0,0,0,0,0,1,0,2,0,0,1,0,2,10,7,11,6,6,0,0,6,0,4,0,0,0,4,0,1,3,5,1,5
Emigrants,Haiti,Latin America and the Caribbean,Caribbean,Developing regions,0,1,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,2,0,2,1,0,0
Emigrants,Holy See,Europe,Southern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emigrants,Honduras,Latin America and the Caribbean,Central America,Developing regions,0,0,1,3,1,3,3,6,8,6,4,12,10,6,7,5,8,3,1,1,3,1,2,0,1,3,2,1,0,1,1,4,2,2
Emigrants,Hungary,Europe,Eastern Europe,Developed regions,3,0,1,9,7,21,3,4,10,7,16,22,19,20,16,18,18,26,20,19,22,17,27,24,54,52,34,32,37,54,57,44,31,22
Emigrants,Iceland,Europe,Northern Europe,Developed regions,2,2,8,7,2,12,8,4,8,1,6,28,11,11,4,6,6,3,9,9,6,1,10,10,6,4,10,6,12,12,11,12,9,24
Emigrants,India,Asia,Southern Asia,Developing regions,146,141,129,125,91,107,114,102,121,125,171,383,239,241,223,204,197,254,312,289,290,276,279,414,603,622,618,656,755,937,1195,1348,1293,1334
Emigrants,Indonesia,Asia,South-Eastern Asia,Developing regions,112,143,116,116,114,127,132,99,115,129,177,294,259,247,321,299,326,307,234,242,311,312,179,190,207,275,209,198,209,224,236,239,214,220
Emigrants,Iran (Islamic Republic of),Asia,Southern Asia,Developing regions,11,2,4,4,3,9,3,7,34,16,9,9,31,9,56,24,22,14,36,17,20,14,10,13,24,27,23,15,22,18,14,14,30,34
Emigrants,Iraq,Asia,Western Asia,Developing regions,16,14,2,14,9,14,7,6,11,2,0,0,1,3,0,1,6,0,4,11,16,15,4,23,51,46,16,10,20,14,10,8,7,15
Emigrants,Ireland,Europe,Northern Europe,Developed regions,119,59,61,59,71,53,53,59,78,111,155,130,151,98,160,130,246,334,444,463,820,1100,1152,916,791,943,970,898,755,461,430,380,487,532
Emigrants,Israel,Asia,Western Asia,Developing regions,81,56,72,56,38,67,72,77,49,77,61,89,106,96,82,85,86,75,66,90,64,59,69,42,79,89,68,58,83,76,114,80,50,57
Emigrants,Italy,Europe,Southern Europe,Developed regions,82,89,70,91,47,60,52,51,52,71,50,89,85,49,58,74,79,93,89,87,115,152,117,156,128,152,154,150,173,131,173,132,120,151
Emigrants,Jamaica,Latin America and the Caribbean,Caribbean,Developing regions,3,6,8,12,2,6,0,6,3,1,6,8,3,5,4,6,10,6,4,5,9,4,2,2,1,2,3,2,1,4,4,3,1,2
Emigrants,Japan,Asia,Eastern Asia,Developed regions,246,204,249,253,282,351,369,420,401,539,661,1077,1265,1201,1346,1470,1736,2071,1982,1814,2037,1874,1830,1907,1836,1826,1404,1440,1252,1295,1121,1090,922,1032
Emigrants,Jordan,Asia,Western Asia,Developing regions,3,5,0,0,0,0,1,0,2,2,8,0,4,8,3,5,5,3,3,10,18,18,21,14,21,36,18,19,18,9,12,16,25,15
Emigrants,Kazakhstan,Asia,Central Asia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,1,3,3,1,4,12,0,4,7,11,10,11,18,16,20,17,10
Emigrants,Kenya,Africa,Eastern Africa,Developing regions,25,22,26,21,11,24,39,22,12,28,24,29,43,25,14,21,20,31,21,18,11,12,9,11,8,17,16,11,11,17,13,46,39,35
Emigrants,Kiribati,Oceania,Micronesia,Developing regions,19,21,22,9,5,19,30,11,32,12,14,30,17,14,16,16,19,28,21,31,29,28,48,42,25,14,18,11,30,56,45,38,23,18
Emigrants,Kuwait,Asia,Western Asia,Developing regions,10,3,1,14,9,2,1,0,15,4,0,16,19,15,6,5,13,11,13,9,18,39,29,39,27,24,22,36,32,39,13,26,18,18
Emigrants,Kyrgyzstan,Asia,Central Asia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,1,1,0,1,4,7,3,3,1,5,7,1,2,2,3,1
Emigrants,Lao People's Democratic Republic,Asia,South-Eastern Asia,Developing regions,2,0,0,0,0,0,0,0,1,0,2,3,2,14,14,10,10,19,17,17,13,10,18,12,14,6,11,14,14,21,30,13,27,24
Emigrants,Latvia,Europe,Northern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,3,0,1,1,3,1,3,2,8,5,4,12,6,4,6,17,4,6
Emigrants,Lebanon,Asia,Western Asia,Developing regions,1,4,0,2,0,0,0,0,2,6,0,2,1,7,12,3,7,1,4,13,6,10,4,10,10,8,2,5,7,18,10,8,10,6
Emigrants,Lesotho,Africa,Southern Africa,Developing regions,0,5,0,0,1,1,0,1,4,2,0,0,0,1,0,0,0,1,0,0,4,2,4,2,0,0,1,1,7,2,0,0,0,0
Emigrants,Liberia,Africa,Western Africa,Developing regions,0,2,0,1,0,0,4,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,4,2,0,0,1,0,0
