Type,OdName,AreaName,RegName,DevName,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Emigrants,Libya,Africa,Northern Africa,Developing regions,2,5,21,3,3,3,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,3,1,8,3,9,14,5,2,6,2
Emigrants,Liechtenstein,Europe,Western Europe,Developed regions,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,3,0,0
Emigrants,Lithuania,Europe,Northern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,9,3,3,1,3,1,1,0,4
Emigrants,Luxembourg,Europe,Western Europe,Developed regions,2,0,0,0,0,0,0,0,0,4,2,0,4,5,1,3,8,1,2,2,2,2,1,3,0,2,0,3,1,3,9,6,1,4
Emigrants,Madagascar,Africa,Eastern Africa,Developing regions,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,7,0,0,3,0,2,1,1,1,0,0,0,2,3
Emigrants,Malawi,Africa,Eastern Africa,Developing regions,5,8,4,0,3,0,1,6,0,4,9,3,4,4,0,4,4,11,7,4,6,11,5,13,4,5,2,2,4,2,3,7,7,2
Emigrants,Malaysia,Asia,South-Eastern Asia,Developing regions,531,621,428,344,350,315,138,98,185,357,580,911,701,475,437,507,780,1020,595,523,545,419,314,382,421,446,462,524,677,720,832,889,774,595
Emigrants,Maldives,Asia,Southern Asia,Developing regions,1,2,5,0,0,1,4,2,1,0,0,0,3,1,2,6,2,13,7,5,10,8,10,21,14,19,21,18,15,42,11,22,15,26
Emigrants,Mali,Africa,Western Africa,Developing regions,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,2,1,1,0,0,0,0,1
Emigrants,Malta,Europe,Southern Europe,Developed regions,0,0,1,0,0,3,1,4,5,2,2,6,2,2,12,1,4,2,4,5,7,2,7,4,4,5,4,5,10,5,4,5,8,13
Emigrants,Marshall Islands,Oceania,Micronesia,Developing regions,0,0,0,0,0,0,0,2,5,7,15,3,16,6,4,4,3,2,7,5,3,2,1,0,5,1,0,3,3,7,0,4,8,0
Emigrants,Martinique,Latin America and the Caribbean,Caribbean,Developing regions,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Emigrants,Mauritania,Africa,Western Africa,Developing regions,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emigrants,Mauritius,Africa,Eastern Africa,Developing regions,3,2,0,0,0,5,8,4,2,1,1,6,5,2,8,12,2,4,3,0,2,1,4,4,1,7,1,1,6,6,12,7,5,7
Emigrants,Mayotte,Africa,Eastern Africa,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emigrants,Mexico,Latin America and the Caribbean,Central America,Developing regions,9,14,26,14,13,12,16,17,13,10,11,18,19,14,26,21,23,43,29,34,40,36,24,50,57,64,53,42,55,67,63,79,49,84
Emigrants,Micronesia (Federated States of),Oceania,Micronesia,Developing regions,39,14,13,2,1,5,17,3,1,0,6,7,0,7,3,9,6,1,2,3,2,0,1,0,7,2,2,4,4,2,1,3,1,2
Emigrants,Monaco,Europe,Western Europe,Developed regions,0,0,0,0,1,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,2,0,1,2,0,0,2,0,1,3,1,0,0,0
Emigrants,Mongolia,Asia,Eastern Asia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,5,9,13,7,1,2,13,20,8,16,14,7,13,19,17,8,7,18,6,17,14,19
Emigrants,Montenegro,Europe,Southern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Emigrants,Montserrat,Latin America and the Caribbean,Caribbean,Developing regions,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Emigrants,Morocco,Africa,Northern Africa,Developing regions,2,1,0,0,0,0,3,2,1,0,5,0,0,5,0,2,1,4,5,0,4,4,7,0,1,4,7,1,6,8,6,3,1,7
Emigrants,Mozambique,Africa,Eastern Africa,Developing regions,1,0,0,0,0,0,0,0,0,0,2,1,1,0,3,1,1,6,0,9,19,7,1,6,7,3,5,0,3,8,1,3,3,3
Emigrants,Myanmar,Asia,South-Eastern Asia,Developing regions,2,2,1,2,1,0,0,0,0,4,7,9,2,0,4,5,5,4,8,5,8,1,10,16,8,7,7,1,9,3,1,9,8,22
Emigrants,Namibia,Africa,Southern Africa,Developing regions,5,0,1,0,0,0,0,1,0,42,1,6,0,0,4,5,6,11,13,1,3,6,4,8,6,2,1,10,6,4,3,0,5,4
Emigrants,Nauru,Oceania,Micronesia,Developing regions,55,60,30,19,12,13,4,4,2,9,7,13,19,13,15,8,0,2,10,2,3,2,2,2,1,4,0,1,1,0,1,4,2,6
Emigrants,Nepal,Asia,Southern Asia,Developing regions,9,15,7,7,14,17,20,14,9,6,10,13,12,15,2,21,18,20,10,31,36,29,10,33,32,20,15,13,15,30,27,41,30,33
Emigrants,Netherlands,Europe,Western Europe,Developed regions,544,342,401,404,421,469,561,355,395,535,472,494,638,396,321,286,277,351,382,362,454,337,315,285,255,255,267,348,325,288,294,318,279,352
Emigrants,New Caledonia,Oceania,Melanesia,Developing regions,17,28,14,13,17,16,21,18,21,19,35,45,37,41,24,22,22,32,8,20,16,24,24,24,28,35,24,28,24,30,37,30,29,34
Emigrants,Nicaragua,Latin America and the Caribbean,Central America,Developing regions,0,0,0,0,0,0,1,1,2,1,1,0,0,1,0,0,1,1,0,2,0,0,0,1,6,0,1,0,0,2,0,3,1,4
Emigrants,Niger,Africa,Western Africa,Developing regions,3,1,5,0,1,1,4,7,0,3,0,6,0,4,2,3,0,1,1,1,2,8,0,2,4,0,9,2,1,6,1,2,1,0
Emigrants,Nigeria,Africa,Western Africa,Developing regions,11,6,11,4,13,9,13,0,8,9,2,22,13,5,2,3,1,2,6,9,8,5,13,14,17,15,5,17,19,3,14,9,14,7
Emigrants,Niue,Oceania,Polynesia,Developing regions,104,79,105,84,116,109,99,122,79,62,94,90,80,65,97,61,59,52,27,39,40,40,45,50,42,72,44,40,55,49,56,56,41,49
Emigrants,Northern Mariana Islands,Oceania,Micronesia,Developing regions,0,0,0,0,0,0,0,0,0,4,6,1,1,1,0,1,1,0,4,1,3,0,0,0,6,0,0,0,0,2,0,1,0,0
Emigrants,Norway,Europe,Northern Europe,Developed regions,24,37,16,24,27,26,23,24,49,22,20,41,70,75,52,45,49,71,47,45,58,52,53,89,70,101,83,85,57,85,61,67,64,80
Emigrants,Oman,Asia,Western Asia,Developing regions,40,20,47,23,16,31,26,20,27,18,16,38,15,16,20,18,23,29,24,17,31,31,33,19,30,33,25,69,74,69,67,38,47,42
Emigrants,Pakistan,Asia,Southern Asia,Developing regions,48,19,16,24,18,19,44,22,18,39,25,17,14,30,13,36,19,8,29,19,32,18,24,29,34,52,28,40,31,33,43,79,72,103
Emigrants,Palau,Oceania,Micronesia,Developing regions,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,3,1,3,0,0,0,2,0,2,0
Emigrants,Panama,Latin America and the Caribbean,Central America,Developing regions,4,0,0,0,6,10,2,0,4,0,0,1,0,0,1,0,1,0,2,3,2,2,0,1,6,3,1,7,1,2,3,4,14,8
Emigrants,Papua New Guinea,Oceania,Melanesia,Developing regions,1326,1172,850,687,655,742,474,436,409,560,378,407,342,378,301,276,271,220,196,155,160,114,140,89,93,101,106,122,139,150,163,196,134,183
Emigrants,Paraguay,Latin America and the Caribbean,South America,Developing regions,10,1,1,0,2,4,1,0,2,0,11,7,1,7,19,16,13,8,14,7,11,2,4,14,6,3,1,6,3,12,4,1,1,1
Emigrants,Peru,Latin America and the Caribbean,South America,Developing regions,21,18,9,10,11,10,11,28,24,11,10,8,4,4,13,9,23,19,5,11,13,17,13,11,30,24,20,22,22,9,26,21,21,17
Emigrants,Philippines,Asia,South-Eastern Asia,Developing regions,114,92,77,86,94,82,79,69,88,103,142,204,149,139,156,107,138,215,157,154,132,119,154,130,138,127,134,148,173,379,365,408,347,333
Emigrants,Poland,Europe,Eastern Europe,Developed regions,10,13,11,5,7,11,4,15,13,14,15,30,30,20,19,29,40,23,22,28,13,9,24,17,13,18,17,30,34,29,38,30,26,27
Emigrants,Portugal,Europe,Southern Europe,Developed regions,2,5,1,0,5,3,3,2,13,14,4,13,6,10,3,5,7,15,8,9,15,12,12,13,5,17,12,4,5,15,27,16,11,13
Emigrants,Puerto Rico,Latin America and the Caribbean,Caribbean,Developing regions,0,1,1,0,0,1,0,3,0,0,0,1,0,0,0,0,1,5,0,0,1,0,1,0,0,0,3,0,1,0,1,0,1,1
Emigrants,Qatar,Asia,Western Asia,Developing regions,5,3,0,3,6,0,0,0,2,8,5,17,12,9,9,4,6,6,39,11,27,20,35,19,60,58,79,133,149,163,117,95,100,96
Emigrants,Republic of Korea,Asia,Eastern Asia,Developing regions,71,69,30,65,30,106,92,110,90,76,42,126,144,147,131,267,477,724,792,644,1032,1215,1624,2434,2884,2492,1825,1861,2069,2152,2195,2150,1707,1365
Emigrants,Republic of Moldova,Europe,Eastern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,2,0,0,0,3,1,0,1,0,2,2,0
Emigrants,Réunion,Africa,Eastern Africa,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,1,1,0,0,0,1,0,1,0,2,3,1,3,0
Emigrants,Romania,Europe,Eastern Europe,Developed regions,2,1,0,2,8,3,0,0,2,2,1,2,2,2,14,4,4,18,11,6,7,24,16,9,8,27,24,31,61,37,24,21,18,19
Emigrants,Russian Federation,Europe,Eastern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,21,48,44,40,81,62,51,69,34,50,61,72,69,66,74,73,74,80,71,112,88
Emigrants,Rwanda,Africa,Eastern Africa,Developing regions,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,5,1,1,0,4
Emigrants,Saint Helena,Africa,Western Africa,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,0,0,1,0,2,2,0,0,0
Emigrants,Saint Kitts and Nevis,Latin America and the Caribbean,Caribbean,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Emigrants,Saint Lucia,Latin America and the Caribbean,Caribbean,Developing regions,0,0,4,0,0,0,4,1,0,1,0,0,1,2,6,0,5,0,0,2,2,0,2,0,2,6,3,3,3,6,0,4,2,2
Emigrants,Saint Pierre and Miquelon,Northern America,Northern America,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emigrants,Saint Vincent and the Grenadines,Latin America and the Caribbean,Caribbean,Developing regions,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,4,1,0,0,2,0,0
Emigrants,Samoa,Oceania,Polynesia,Developing regions,1113,891,769,591,634,698,651,689,964,872,905,1435,1326,903,813,588,534,673,514,605,474,443,422,357,432,535,446,494,596,634,693,670,578,527
Emigrants,San Marino,Europe,Southern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Emigrants,Sao Tome and Principe,Africa,Middle Africa,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emigrants,Saudi Arabia,Asia,Western Asia,Developing regions,92,66,67,45,27,64,64,37,33,69,88,128,164,194,85,93,83,110,85,59,129,194,186,119,78,73,83,124,128,171,213,202,262,277
Emigrants,Senegal,Africa,Western Africa,Developing regions,0,0,0,0,1,0,0,0,0,0,0,3,6,0,5,4,0,4,9,0,0,1,3,4,0,1,0,0,0,0,0,1,0,2
Emigrants,Serbia,Europe,Southern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,13,7,16,11
Emigrants,Seychelles,Africa,Eastern Africa,Developing regions,1,0,2,0,1,6,8,1,0,0,4,1,2,0,0,0,0,4,3,0,0,0,5,1,6,5,2,3,3,6,1,2,3,3
Emigrants,Sierra Leone,Africa,Western Africa,Developing regions,3,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,1,0,0,3,2,3,2,0,2,1,3,0,2,8,7,0,1
Emigrants,Singapore,Asia,South-Eastern Asia,Developing regions,1072,869,894,647,626,617,729,865,356,273,294,513,466,463,401,361,312,366,301,291,416,525,298,239,277,311,383,437,419,407,469,481,429,393
Emigrants,Slovakia,Europe,Eastern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2,6,6,2,7,7,6,8,10,8,10,12,18,29,23,29,7,16,12
Emigrants,Slovenia,Europe,Southern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,1,8,3,5,6,4,2,4,6,2,7,7,3,7,9,15,7
Emigrants,Solomon Islands,Oceania,Melanesia,Developing regions,105,83,87,104,58,72,114,82,91,106,70,73,62,56,77,48,72,56,60,71,60,66,66,74,95,48,56,68,77,63,93,87,59,83
Emigrants,Somalia,Africa,Eastern Africa,Developing regions,2,8,4,1,0,0,2,2,2,5,0,0,2,2,2,0,0,0,0,1,0,1,1,1,2,2,4,12,3,0,0,3,7,0
Emigrants,South Africa,Africa,Southern Africa,Developing regions,308,269,231,230,232,104,67,87,79,105,118,152,159,95,135,233,159,191,225,233,218,194,272,300,378,331,380,330,310,672,615,508,438,337
Emigrants,Spain,Europe,Southern Europe,Developed regions,20,13,19,6,19,25,35,20,17,36,23,59,77,35,28,42,42,40,70,70,82,104,63,93,160,239,175,208,147,101,138,160,162,154
Emigrants,Sri Lanka,Asia,Southern Asia,Developing regions,21,35,29,33,16,30,13,28,22,13,14,20,28,48,17,21,40,53,55,65,50,51,36,81,74,54,52,35,33,65,117,103,85,113
Emigrants,State of Palestine,Asia,Western Asia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,0,0,1,0,1,0,6,0,2
Emigrants,Sudan,Africa,Northern Africa,Developing regions,9,6,0,0,0,12,3,1,0,2,4,1,0,3,1,0,0,1,0,7,1,2,0,11,4,11,14,13,7,2,5,6,7,4
Emigrants,Suriname,Latin America and the Caribbean,South America,Developing regions,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,1,1
Emigrants,Swaziland,Africa,Southern Africa,Developing regions,1,0,0,5,0,1,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,1,2,0,0
Emigrants,Sweden,Europe,Northern Europe,Developed regions,24,25,44,30,37,47,50,59,137,128,115,99,145,104,120,124,115,138,138,128,167,156,139,125,144,141,136,142,165,191,176,194,207,154
Emigrants,Switzerland,Europe,Western Europe,Developed regions,153,172,145,142,134,140,152,202,166,178,186,227,189,159,164,176,227,184,256,215,298,234,225,215,145,207,219,219,237,208,204,215,193,205
Emigrants,Syrian Arab Republic,Asia,Western Asia,Developing regions,4,0,2,0,2,4,1,1,0,2,0,4,1,0,4,2,1,2,7,6,6,10,1,12,14,7,11,12,10,9,11,3,0,0
Emigrants,Tajikistan,Asia,Central Asia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,1,1,1,3,0,0,3,0,6,0,1,5,0,3,2,1
Emigrants,Thailand,Asia,South-Eastern Asia,Developing regions,110,58,61,80,90,71,70,94,145,121,136,232,286,232,267,335,388,400,398,459,485,458,416,419,427,394,385,376,416,399,365,384,473,458
Emigrants,The former Yugoslav Republic of Macedonia,Europe,Southern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,7,0,6,7,14,2,4,4,7,5,13,13,5,7,7,13,13,7
Emigrants,Timor-Leste,Asia,South-Eastern Asia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,22,21,3,17,7,7,3,12,7,19,23,36,41
Emigrants,Togo,Africa,Western Africa,Developing regions,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
Emigrants,Tokelau,Oceania,Polynesia,Developing regions,35,31,35,41,51,25,42,64,30,27,16,27,24,22,19,27,27,49,24,58,27,37,29,26,42,36,25,48,16,24,20,41,37,21
Emigrants,Tonga,Oceania,Polynesia,Developing regions,405,322,297,315,279,287,309,251,358,321,403,630,554,358,307,318,236,336,344,374,292,213,256,257,254,237,229,194,240,252,302,295,305,270
Emigrants,Trinidad and Tobago,Latin America and the Caribbean,Caribbean,Developing regions,1,2,1,4,1,1,1,3,1,5,2,0,6,1,4,3,5,0,8,1,2,4,5,8,2,4,5,4,11,4,4,3,8,4
Emigrants,Tunisia,Africa,Northern Africa,Developing regions,1,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,5,0,0,2,0,0,2,2,0,0,0,3,1,1,0
Emigrants,Turkey,Asia,Western Asia,Developing regions,6,2,1,2,2,7,6,3,8,21,15,29,19,21,12,27,31,33,48,27,27,66,31,40,36,42,26,27,30,48,37,36,38,50
Emigrants,Turkmenistan,Asia,Central Asia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Emigrants,Turks and Caicos Islands,Latin America and the Caribbean,Caribbean,Developing regions,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,1,0,2,1,1,1,1,4,3,8,0,6,5,1,1,1,0,1,3
Emigrants,Tuvalu,Oceania,Polynesia,Developing regions,6,11,5,7,13,5,12,11,12,5,6,15,13,10,5,9,6,7,19,40,33,23,47,44,28,20,24,7,12,19,24,18,22,21
Emigrants,Uganda,Africa,Eastern Africa,Developing regions,2,5,3,2,1,1,12,1,0,3,10,2,17,6,4,10,17,2,6,5,4,3,6,11,6,0,5,6,12,9,4,13,1,3
Emigrants,Ukraine,Europe,Eastern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,3,8,9,7,12,6,12,7,15,16,11,13,14,7,11,6,18,11
Emigrants,United Arab Emirates,Asia,Western Asia,Developing regions,30,44,33,23,31,25,26,19,3,9,23,45,87,71,56,31,70,83,111,119,177,189,149,195,213,300,456,647,879,437,460,381,373,327
Emigrants,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,Developed regions,10257,6699,6156,7345,8861,9827,10367,10958,11651,13412,12878,11366,10491,8684,9760,10816,11835,13908,16142,16211,15443,14852,12922,11203,11962,12430,11760,12276,10830,8336,9068,9092,8259,8118
Emigrants,United Republic of Tanzania,Africa,Eastern Africa,Developing regions,14,10,3,2,3,7,11,13,14,22,20,19,18,25,29,17,14,28,18,21,19,16,28,17,15,18,36,34,23,28,35,23,15,13
Emigrants,United States of America,Northern America,Northern America,Developed regions,2365,2197,1987,1832,1860,2080,1999,1803,2044,2006,2104,2408,2534,2114,2092,2021,2418,2911,3085,3041,3457,3151,2373,2393,2331,2800,2596,2494,2712,2314,2679,2609,2799,3015
Emigrants,United States Virgin Islands,Latin America and the Caribbean,Caribbean,Developing regions,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
Emigrants,Uruguay,Latin America and the Caribbean,South America,Developing regions,4,0,6,2,4,5,1,0,0,1,6,0,5,3,5,5,7,8,20,16,11,20,7,6,24,28,28,11,29,46,49,47,40,37
Emigrants,Uzbekistan,Asia,Central Asia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,1,0,0,2,0,4,6,1,3,0,1,0,4,4,3,5,4
Emigrants,Vanuatu,Oceania,Melanesia,Developing regions,47,50,77,47,51,40,35,78,47,35,63,47,66,48,33,36,46,31,62,39,60,56,42,42,41,65,45,60,67,114,50,71,64,56
Emigrants,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,South America,Developing regions,14,3,3,0,1,8,9,2,0,1,9,5,8,5,4,14,5,3,19,3,11,7,12,3,5,4,4,0,2,1,5,4,3,6
Emigrants,Viet Nam,Asia,South-Eastern Asia,Developing regions,4,0,1,0,0,0,0,5,1,1,3,1,15,16,30,38,55,57,43,29,44,55,92,108,131,164,130,126,153,147,203,245,219,253
Emigrants,Wallis and Futuna Islands,Oceania,Polynesia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Emigrants,Western Sahara,Africa,Northern Africa,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emigrants,Yemen,Asia,Western Asia,Developing regions,0,0,0,0,1,1,0,0,1,1,0,1,5,1,1,1,2,33,41,46,6,2,8,1,6,0,3,0,6,1,3,0,4,0
Emigrants,Zambia,Africa,Eastern Africa,Developing regions,21,13,13,7,12,7,3,6,17,7,9,4,12,7,12,6,12,12,7,11,13,11,7,15,17,13,22,34,28,22,33,31,25,16
Emigrants,Zimbabwe,Africa,Eastern Africa,Developing regions,11,19,16,8,22,14,27,9,21,44,19,29,29,14,21,27,27,13,36,11,16,18,10,16,20,15,17,15,8,12,20,27,28,26
Emigrants,Unknown,Unknown,Unknown,Unknown,4537,4028,3444,2842,3841,4412,4649,4276,3634,3408,3571,2441,1665,4173,3247,4319,4882,3927,3746,2909,2596,2437,2652,2730,2641,2084,1732,1698,1576,1169,1478,1495,1508,1343
Immigrants,Afghanistan,Asia,Southern Asia,Developing regions,1,5,0,0,1,7,4,2,0,0,1,12,0,7,11,1,5,3,12,19,34,36,53,2,272,48,36,38,56,74,68,50,57,150
Immigrants,Albania,Europe,Southern Europe,Developed regions,0,0,0,0,0,0,1,4,0,0,1,5,2,1,3,4,1,3,6,12,25,4,12,3,9,4,2,6,3,8,1,1,0,2
Immigrants,Algeria,Africa,Northern Africa,Developing regions,1,1,0,4,1,1,1,0,0,0,1,0,1,5,3,2,2,8,2,0,1,0,3,7,3,2,10,7,1,6,6,6,8,6
